gene,importance
AREG,0.052238464270683335
APOOL,0.0463911518890995
MALAT1,0.03309184051226759
RPS18,0.03012797270186026
CFD,0.02382001750390609
SELL,0.02125409566157504
MSI2,0.020557744169208927
CXCL8,0.020230411574705984
FTL,0.019125058884624256
HSPA8,0.01906757748334227
TSC22D3,0.01564643670432173
SPINK2,0.015272932692812989
B2M,0.014834456752954755
EREG,0.013526968201414875
RNA5-8S,0.012905961718549132
JUN,0.012386935972836625
PKM,0.010529453393057433
CSTA,0.010168116153300271
GPX1,0.010053452495009406
CYBB,0.009644386200397427
MT-COX1,0.00886908700440027
ENO1,0.008670293976163352
FOS,0.008573999628797914
H3F3B,0.008350955468153199
KLF6,0.008189315021836624
NDUFV2,0.007529633065015995
SRGN,0.0071917507197800865
VIM,0.007113953615641343
IQGAP2,0.007062069280490905
HIST1H1D,0.006922769510598778
FTH1,0.006681014012577179
LYZ,0.006615764216449312
RNASE2,0.006611140429795257
MT-COX3,0.006504209547069166
FOSB,0.006439041983080611
MNDA,0.006348286779912168
IGLL1,0.006232850570450084
C1QBP,0.006202769625873317
ZFAS1,0.006134812027641614
CCT5,0.0060981476675123205
SNHG5,0.006068428005372369
YWHAE,0.005933312853005239
GNG11,0.005651725496344477
SLIRP,0.005612598202809318
RPS13,0.005492368956400925
CD36,0.005483279568148076
HBB,0.005472671777120877
CD52,0.005449175421459785
HINT1,0.005003354089568962
NCF4,0.004900366062148401
ANKRD28,0.004690309479117067
HNRNPC,0.004607122465717911
PROS1,0.004538018191434389
MT-ND4,0.004451762608975417
FAM26F,0.0043211706354669135
CDC42EP3,0.0043057152404196415
EPB41L2,0.0042121389823470854
GLO1,0.004192428999766107
HSPD1,0.004034656542007707
CRNDE,0.003915952943636797
MT-COX2,0.0037743273978780123
LRRC75A-AS1,0.003714767794027274
ANXA2,0.003353587804926065
SERBP1,0.0031767133460827595
CTSG,0.0031635565942687055
S100A8,0.0030691584098105477
TUBA1A,0.0030555474322052417
RPS10,0.0029778285248512697
FUCA1,0.002747058847401001
PFDN5,0.00273432933780482
RETN,0.002714806832742865
RPL18A,0.002683696915884159
LTA4H,0.0026445644380288843
EIF4G1,0.002599155858933405
ANXA1,0.0025483564664316193
RPL6,0.002537217615571405
PSMA7,0.002528501307202665
PCLAF,0.002503916885306362
IL7R,0.002490141777512922
TXN,0.0024824767751954902
HLA-DRA,0.002448941583962126
H2AFZ,0.002417301453739584
TCF4,0.0024076595464931918
STK17B,0.0023719203045050453
TYROBP,0.0023681745726922354
CSF1R,0.0023267714514348704
S100A9,0.0023223123420294035
MT-CYTB,0.0022975072374802996
RPL13,0.0022809041422291055
HSPA5,0.0022776496460937975
RPS20,0.002233264174085483
CCPG1,0.002207507379321747
MT-ATP6,0.002174108249714409
NUCB2,0.00209956225439289
TMSB4X,0.0020867721716952307
TMSB10,0.002066874998395025
ZNF711,0.002025578751431331
DNAJA1,0.0019945243821004838
HEMGN,0.001986007335840255
CPA3,0.0019151042622353365
RPL23,0.0018898533769067189
HLA-E,0.0018489289267343203
LDHB,0.0017814257073651817
HDDC2,0.0017493961020808163
ACTB,0.001700289760710364
HSP90AA1,0.0016915018713203125
NRIP1,0.001675382029199243
RPS5,0.0016239660182791546
RPS28,0.0016221429096351706
TTC3,0.0015947426368353363
CD69,0.0015827481854060227
TWISTNB,0.0015826610956247986
TUBB,0.0015719538862899955
RAB10,0.00156101322971275
PNISR,0.0015493294277808605
CLECL1,0.0015459608216560883
DSC2,0.0015280155032645379
HNRNPA2B1,0.0015185592710109175
CCT3,0.0014995999044540046
KPNA2,0.001492452124984444
YBX1,0.0014905969066301068
NCF2,0.0014889158114433315
RPS19,0.0014774378729587295
CCNB1,0.0014592578453022352
BASP1,0.0014407213153797742
H1FX,0.001426397284972865
ARGLU1,0.0014044800333910027
PPIA,0.0013947825383324628
SERF2,0.0013749102792842529
RNA18S,0.0013710453670583338
EIF2S2,0.0013594859055196073
CLEC12A,0.0013283289834524353
UBB,0.0012892691609328682
ZFR,0.0012831910518199651
CCT2,0.0012801710947816008
CDK6,0.0012777602093462512
S100A4,0.001245270297546042
CACYBP,0.0012438406933997967
GAPDH,0.0012229396423707173
OGFRL1,0.0012224215187512672
NME2,0.0012085187695516277
HMGB1,0.0012054347641538032
GNL3,0.0011700621857922019
NFKBIA,0.0011700539665641602
